number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,state
0,0.9575535597460016,2024-10-04 20:18:52.714184,2024-10-04 20:19:05.554384,0 days 00:00:12.840200,0.15268515298731478,0.5022936147425566,0.03777375844866581,0.047122436792669475,8,10,588,0.9487496335443051,COMPLETE
1,0.9483702681127456,2024-10-04 20:19:05.555382,2024-10-04 20:19:37.051480,0 days 00:00:31.496098,0.001550009092245667,0.7186860085993543,0.0703544453941957,0.08869173720075663,8,4,1451,0.8813950300942486,COMPLETE
2,0.9462135615437779,2024-10-04 20:19:37.052476,2024-10-04 20:20:19.799178,0 days 00:00:42.746702,0.5844381195698481,0.8121283155282737,0.04957271035244465,0.1125942665920208,9,7,1655,0.8824779799265183,COMPLETE
3,0.9450319045773649,2024-10-04 20:20:19.801172,2024-10-04 20:20:43.126662,0 days 00:00:23.325490,1.3341654938894834,0.9805415207028904,0.4732750758791666,0.17659860311923442,9,10,940,0.654864956659868,COMPLETE
4,0.9555895664680183,2024-10-04 20:20:43.127659,2024-10-04 20:20:49.225501,0 days 00:00:06.097842,0.7210068190926312,0.9577313925389719,2.155829142517844,0.13137568150433887,4,8,548,0.5402648089174957,COMPLETE
5,0.950821327818565,2024-10-04 20:20:49.226498,2024-10-04 20:21:12.629629,0 days 00:00:23.403131,0.6738812441940543,0.8460212065863417,0.26707319106758176,0.08060443151932423,8,9,1087,0.8557400501704397,COMPLETE
6,0.955109732815907,2024-10-04 20:21:12.630626,2024-10-04 20:21:48.461898,0 days 00:00:35.831272,0.08399700941391201,0.9704705448151212,0.08016890093886142,0.02285425002841108,7,4,1795,0.667162129838771,COMPLETE
7,0.9568041906047732,2024-10-04 20:21:48.462897,2024-10-04 20:22:06.608106,0 days 00:00:18.145209,6.848530572699308,0.6662689013879743,0.0013553300733637446,0.07497619042740411,4,9,1639,0.9337591550334208,COMPLETE
8,0.9489948406199827,2024-10-04 20:22:06.609103,2024-10-04 20:22:32.120122,0 days 00:00:25.511019,0.004094004423198388,0.6901741466080782,1.475501341544677,0.12917915772319774,5,1,1849,0.7688093729130405,COMPLETE
9,0.9527725283105128,2024-10-04 20:22:32.121119,2024-10-04 20:23:04.240317,0 days 00:00:32.119198,0.23122698497303987,0.5885202124845283,0.5246439431599101,0.054805519531725744,8,5,1408,0.9275705476574803,COMPLETE
10,0.946514540260368,2024-10-04 20:23:04.241314,2024-10-04 20:23:20.832052,0 days 00:00:16.590738,0.02286467849753929,0.5047272907226807,0.005756278281815627,0.2537599592545993,10,1,510,0.9808788926014564,COMPLETE
11,0.9427302686604125,2024-10-04 20:23:20.833049,2024-10-04 20:23:29.268146,0 days 00:00:08.435097,8.927297612880043,0.6108567373644849,0.0021527715243282904,0.019805067120879996,3,10,816,0.9984746912355582,COMPLETE
12,0.9538789882209932,2024-10-04 20:23:29.270141,2024-10-04 20:24:01.100311,0 days 00:00:31.830170,9.464825744131497,0.5007807627863725,0.013870382292725338,0.19011689992989078,6,7,1992,0.8301638241040917,COMPLETE
13,0.9560582443820976,2024-10-04 20:24:01.101309,2024-10-04 20:24:20.765871,0 days 00:00:19.664562,0.03190204311070519,0.6205528935122703,0.0011450675732588296,0.05071998151496074,6,8,1295,0.7644774470806835,COMPLETE
14,0.9555847208059276,2024-10-04 20:24:20.766869,2024-10-04 20:24:35.389430,0 days 00:00:14.622561,2.9663437929147407,0.6670954126757386,0.015008312557395013,0.2853149139649708,3,10,1509,0.9391339707932391,COMPLETE
15,0.9573927242443236,2024-10-04 20:24:35.391425,2024-10-04 20:24:44.935004,0 days 00:00:09.543579,0.12786606084991387,0.78458853432621,6.176019967470143,0.06440867605967064,5,8,746,0.8155447496669888,COMPLETE
16,0.9480084150220287,2024-10-04 20:24:44.936001,2024-10-04 20:24:53.687668,0 days 00:00:08.751667,0.09406926624914909,0.8200282731778723,4.269427344614218,0.012164362261093194,5,6,696,0.6896465230686586,COMPLETE
17,0.947420804082262,2024-10-04 20:24:53.688666,2024-10-04 20:25:10.949050,0 days 00:00:17.260384,0.008989306201749907,0.7675173974641667,7.432194216218335,0.20105575104901302,7,9,1054,0.8028211403067964,COMPLETE
18,0.9562798590114732,2024-10-04 20:25:10.950047,2024-10-04 20:25:20.275165,0 days 00:00:09.325118,0.20688861746325485,0.8891465383678419,0.023504167128020177,0.04943911494271029,5,7,724,0.5646477463462639,COMPLETE
19,0.9517319967878143,2024-10-04 20:25:20.276163,2024-10-04 20:25:35.891450,0 days 00:00:15.615287,0.03435942643284655,0.7565504283587603,0.18602240814846568,0.09360901825202744,7,8,897,0.715032325837883,COMPLETE
20,0.9529097546035278,2024-10-04 20:25:35.892447,2024-10-04 20:25:45.777781,0 days 00:00:09.885334,0.2662567355917832,0.5575568938208005,0.004863781238151751,0.15221144112535082,6,6,664,0.8025421211402446,COMPLETE
21,0.9579004889118273,2024-10-04 20:25:45.778778,2024-10-04 20:25:59.270198,0 days 00:00:13.491420,2.800868550387222,0.644016353551802,0.003641895693290018,0.06921288505896964,4,9,1225,0.9416743743467366,COMPLETE
22,0.9577807403385892,2024-10-04 20:25:59.271195,2024-10-04 20:26:12.083035,0 days 00:00:12.811840,2.3829223808892928,0.5553872947653384,0.0051494619489631886,0.05582606023470612,4,9,1130,0.9047237082811724,COMPLETE
23,0.957457533486561,2024-10-04 20:26:12.084032,2024-10-04 20:26:26.621298,0 days 00:00:14.537266,2.0305192514736548,0.5475060123700245,0.0063033697226887835,0.03791414119813952,4,10,1184,0.9567048846092949,COMPLETE
24,0.9571037584836292,2024-10-04 20:26:26.622295,2024-10-04 20:26:40.012229,0 days 00:00:13.389934,4.798528008891531,0.551911406018487,0.0028047117679970736,0.10569326269315957,3,9,1306,0.8914047449790496,COMPLETE
25,0.9542499373457082,2024-10-04 20:26:40.013226,2024-10-04 20:26:53.892560,0 days 00:00:13.879334,1.3676011595781885,0.6338713197154329,0.030445810494572182,0.21929390632300766,4,10,1076,0.8910316279085501,COMPLETE
26,0.9560623340256559,2024-10-04 20:26:53.893557,2024-10-04 20:27:23.324712,0 days 00:00:29.431155,3.0657263215711916,0.5763220091247784,0.009530423739088342,0.033893108006220474,9,9,1192,0.9681265776652557,COMPLETE
27,0.9583497722717403,2024-10-04 20:27:23.325709,2024-10-04 20:27:31.918505,0 days 00:00:08.592796,0.43206438809672254,0.5072441989405825,0.003195103772072981,0.1322093610400407,3,2,959,0.9161233358637322,COMPLETE
28,0.9576963400964249,2024-10-04 20:27:31.919503,2024-10-04 20:27:40.332209,0 days 00:00:08.412706,0.4606179755063681,0.5425011637879124,0.0026014407850838924,0.1561118307779874,3,2,928,0.9140864242556767,COMPLETE
29,0.9567682648422213,2024-10-04 20:27:40.333206,2024-10-04 20:27:51.093679,0 days 00:00:10.760473,1.2813742892985598,0.6494998800782676,0.003775949912562027,0.11479731711191593,4,3,1015,0.8559242700583803,COMPLETE
30,0.9565021998948717,2024-10-04 20:27:51.094676,2024-10-04 20:28:03.005864,0 days 00:00:11.911188,4.0721078692186286,0.7163071513043566,0.011092981120003623,0.1539899179053664,3,2,1183,0.6182812357041431,COMPLETE
31,0.9557019929720042,2024-10-04 20:28:03.006861,2024-10-04 20:28:12.373830,0 days 00:00:09.366969,0.45785678897492627,0.5302787023776269,0.002031304415126662,0.1652120541630874,4,2,894,0.9125952025839954,COMPLETE
32,0.957797610862379,2024-10-04 20:28:12.374827,2024-10-04 20:28:21.585576,0 days 00:00:09.210749,0.35638665906780154,0.5943925949192629,0.0010599975607045982,0.13408768691300071,3,3,956,0.8519772971386838,COMPLETE
33,0.9573689066840967,2024-10-04 20:28:21.586573,2024-10-04 20:28:34.335501,0 days 00:00:12.748928,0.9501991348599426,0.5922123931072951,0.00109476571804415,0.13262932701337835,3,3,1371,0.853317199334469,COMPLETE
34,0.9578627058439041,2024-10-04 20:28:34.336498,2024-10-04 20:28:46.221076,0 days 00:00:11.884578,1.9356785848078475,0.606743546668877,0.006957702298180392,0.09578320442261314,3,3,1111,0.8730781462477217,COMPLETE
35,0.9579243124249561,2024-10-04 20:28:46.222074,2024-10-04 20:28:56.527484,0 days 00:00:10.305410,0.37890964514510617,0.6136211535106657,0.0017643672054973515,0.0983898507460773,3,4,1000,0.8577769419589242,COMPLETE
36,0.9578100464743047,2024-10-04 20:28:56.528482,2024-10-04 20:29:04.765864,0 days 00:00:08.237382,0.9895279691232801,0.7101350172438343,0.04857811629408697,0.09660049877627476,3,4,841,0.8737941875951851,COMPLETE
37,0.9572914415725663,2024-10-04 20:29:04.766861,2024-10-04 20:29:21.543074,0 days 00:00:16.776213,1.7107138429908921,0.6851796071516518,0.02329221146545703,0.08142194780818843,4,5,1500,0.9964227788825113,COMPLETE
38,0.9583334315562135,2024-10-04 20:29:21.545069,2024-10-04 20:29:30.710529,0 days 00:00:09.165460,0.05655308777759441,0.6442199162029645,0.008153597002147454,0.11869404607470294,3,4,975,0.9543999614697569,COMPLETE
39,0.9553605404758632,2024-10-04 20:29:30.711527,2024-10-04 20:29:44.129771,0 days 00:00:13.418244,0.07254044109776674,0.6436766034585101,0.0018594089433860686,0.11696405582708795,5,5,1000,0.957752223421519,COMPLETE
40,0.9578093916551031,2024-10-04 20:29:44.131766,2024-10-04 20:29:51.021298,0 days 00:00:06.889532,0.04355238982595394,0.6942151684326154,0.0037291172495987185,0.06830544218276242,4,4,606,0.9247994416099999,COMPLETE
41,0.9581108882741527,2024-10-04 20:29:51.022295,2024-10-04 20:30:02.018452,0 days 00:00:10.996157,0.1602051760873969,0.6178355651299917,0.008327698201101413,0.09208408327464915,3,3,1123,0.8748626634139905,COMPLETE
42,0.9577612505379935,2024-10-04 20:30:02.019450,2024-10-04 20:30:14.612756,0 days 00:00:12.593306,0.1438194348251367,0.7350705922830147,0.0032460532633429816,0.1226030926085825,3,4,1249,0.944587511991788,COMPLETE
43,0.9571826106212866,2024-10-04 20:30:14.613754,2024-10-04 20:30:22.478043,0 days 00:00:07.864289,0.05951021320499956,0.6628319779486783,0.007782745777678037,0.13935833596257108,3,2,813,0.8286483525476183,COMPLETE
44,0.9579625181489094,2024-10-04 20:30:22.479041,2024-10-04 20:30:34.645410,0 days 00:00:12.166369,0.022184582898025985,0.5203839852832167,0.014379693870158418,0.10622847673867773,4,3,1015,0.9819781339528381,COMPLETE
45,0.9578137432263418,2024-10-04 20:30:34.646407,2024-10-04 20:30:44.350518,0 days 00:00:09.704111,0.010043633737879833,0.5176345128515114,0.01797574038623842,0.10508294274344834,3,1,1002,0.9771540476161528,COMPLETE
46,0.9581480820047943,2024-10-04 20:30:44.351515,2024-10-04 20:30:56.836662,0 days 00:00:12.485147,0.015293412502278635,0.5728538898563454,0.05617697371985172,0.08379942201656351,4,3,1125,0.9985241604129761,COMPLETE
47,0.9523247093644504,2024-10-04 20:30:56.837659,2024-10-04 20:31:11.930561,0 days 00:00:15.092902,0.013249754413908821,0.5720648844221979,0.1402165793676987,0.17586421310636566,5,3,1130,0.9989059550574791,COMPLETE
48,0.9553070596058107,2024-10-04 20:31:11.931558,2024-10-04 20:31:26.939217,0 days 00:00:15.007659,0.0021905235545718656,0.5221177599233112,0.06582840770123839,0.1434422924546117,4,2,1323,0.9757084164529484,COMPLETE
49,0.9572924416600739,2024-10-04 20:31:26.940214,2024-10-04 20:31:38.175612,0 days 00:00:11.235398,0.017732340266856196,0.5006692346278652,0.03359238287560901,0.08357333552172401,5,3,859,0.9586490791343315,COMPLETE
50,0.9561821421279124,2024-10-04 20:31:38.176609,2024-10-04 20:31:49.824168,0 days 00:00:11.647559,0.005263632900485208,0.5737821625728406,0.10117950526683989,0.12199577511080767,4,1,1067,0.9260243498760037,COMPLETE
51,0.958192556134376,2024-10-04 20:31:49.825165,2024-10-04 20:31:58.787130,0 days 00:00:08.961965,0.049053345335810426,0.6210494966636273,0.010461108821737166,0.10374953554455096,3,4,978,0.8959201701574774,COMPLETE
52,0.9581200736016783,2024-10-04 20:31:58.788127,2024-10-04 20:32:08.297129,0 days 00:00:09.509002,0.02598283164018445,0.530232480232269,0.011097119468563484,0.08690147645429641,3,4,981,0.981132908750275,COMPLETE
53,0.9572678323639033,2024-10-04 20:32:08.298126,2024-10-04 20:32:15.463765,0 days 00:00:07.165639,0.05139843977564613,0.6208708767027432,0.6084457866297274,0.08126293692936387,3,5,771,0.8953434369493651,COMPLETE
54,0.9580800105723537,2024-10-04 20:32:15.465759,2024-10-04 20:32:24.147390,0 days 00:00:08.681631,0.0336218147723451,0.5821979899860761,0.01013996877539503,0.0890522702693583,3,4,947,0.9419353960372668,COMPLETE
55,0.9572274002546651,2024-10-04 20:32:24.148387,2024-10-04 20:32:35.609354,0 days 00:00:11.460967,0.0934915764660149,0.5385836543330813,0.023664594307942512,0.061831290694126205,3,5,1163,0.7311378574039662,COMPLETE
56,0.9582807126575956,2024-10-04 20:32:35.610351,2024-10-04 20:32:45.147276,0 days 00:00:09.536925,0.1863699011187288,0.5642045352129847,0.01777630185952778,0.1240872643407386,3,4,1053,0.9197793272811443,COMPLETE
57,0.9575312542228396,2024-10-04 20:32:45.148274,2024-10-04 20:32:54.841602,0 days 00:00:09.693328,0.019670246863606456,0.5635410947928862,0.040233133469205935,0.12079285359887934,4,6,882,0.9872742350364131,COMPLETE
58,0.9580264642203812,2024-10-04 20:32:54.842600,2024-10-04 20:33:01.734036,0 days 00:00:06.891436,0.007461273345296058,0.5960342780656919,0.06375456200071676,0.11036012382036726,3,4,769,0.9158300673438262,COMPLETE
59,0.9471081695838863,2024-10-04 20:33:01.735033,2024-10-04 20:33:29.687869,0 days 00:00:27.952836,0.02892196623584138,0.5134483281996218,0.018299287586286395,0.16655458596583755,10,4,1052,0.9533365060063876,COMPLETE
60,0.9586547632441647,2024-10-04 20:33:29.688867,2024-10-04 20:33:41.896355,0 days 00:00:12.207488,0.06813422952230762,0.5603748999162744,0.32279154082335415,0.07593929371488299,4,5,948,0.9645417573125843,COMPLETE
61,0.9586135929750995,2024-10-04 20:33:41.897352,2024-10-04 20:33:52.319577,0 days 00:00:10.422225,0.11458053609520287,0.5378379055388532,0.32621608192555523,0.07252709229458917,4,5,935,0.9675566116833599,COMPLETE
62,0.9578191127437936,2024-10-04 20:33:52.320574,2024-10-04 20:34:02.595133,0 days 00:00:10.274559,0.1909051408773765,0.910911057349906,0.27962103294148494,0.06952653210937056,4,5,924,0.932395115077314,COMPLETE
63,0.9553990438449078,2024-10-04 20:34:02.596130,2024-10-04 20:34:17.110579,0 days 00:00:14.514449,0.28893816386297916,0.5618160551537738,0.753081462859253,0.125877599234276,5,6,1061,0.9643376460422098,COMPLETE
64,0.9526912116714975,2024-10-04 20:34:17.111576,2024-10-04 20:34:30.405607,0 days 00:00:13.294031,0.11816233999309059,0.5421520530735842,0.36617731409281423,0.14794631722318125,6,5,823,0.9063934745407518,COMPLETE
65,0.9581342653196441,2024-10-04 20:34:30.406604,2024-10-04 20:34:40.745800,0 days 00:00:10.339196,0.06941508549340775,0.6330210666150732,1.3760211053656122,0.07488049907197125,4,6,934,0.9424286154747757,COMPLETE
66,0.9581701970350978,2024-10-04 20:34:40.746797,2024-10-04 20:34:53.605712,0 days 00:00:12.858915,0.04971267526727262,0.6010254309739773,0.18935479321992188,0.04196771608222833,5,5,879,0.971933861696725,COMPLETE
67,0.9570587545457846,2024-10-04 20:34:53.606709,2024-10-04 20:35:01.757493,0 days 00:00:08.150784,0.04041690330474506,0.6031799554348202,0.18150959801542346,0.04357141885109093,5,7,629,0.7801425558685254,COMPLETE
68,0.953762269674787,2024-10-04 20:35:01.758490,2024-10-04 20:35:10.900319,0 days 00:00:09.141829,0.07917259021500712,0.9995032845758949,1.0499168330676403,0.02325844782175812,4,5,801,0.8960231403179331,COMPLETE
69,0.9551659401149981,2024-10-04 20:35:10.901316,2024-10-04 20:35:28.323725,0 days 00:00:17.422409,0.1890904246587253,0.674819498965954,0.323042989148556,0.05867961460868969,9,6,706,0.9674157835285199,COMPLETE
70,0.9571518876949352,2024-10-04 20:35:28.325720,2024-10-04 20:35:39.222130,0 days 00:00:10.896410,0.11261978298219873,0.5847078384201808,0.0976731398833287,0.036783420881746895,4,6,882,0.931832138893377,COMPLETE
71,0.9579915266395334,2024-10-04 20:35:39.223127,2024-10-04 20:35:55.329645,0 days 00:00:16.106518,0.06284274727643774,0.5561091277105918,0.42316016476608587,0.05033150424770572,6,4,954,0.9982656960224697,COMPLETE
72,0.9569793487882571,2024-10-04 20:35:55.330642,2024-10-04 20:36:07.194205,0 days 00:00:11.863563,0.05251572018645396,0.5684792466452134,0.17551440279428246,0.13432635962686032,4,5,1030,0.9672929265848885,COMPLETE
73,0.9580497638781489,2024-10-04 20:36:07.195202,2024-10-04 20:36:21.397781,0 days 00:00:14.202579,0.014787348914234093,0.6311026411181734,0.2384877421162903,0.028148193398079217,5,4,1084,0.9510193618950131,COMPLETE
74,0.9579118113311104,2024-10-04 20:36:21.398779,2024-10-04 20:36:30.109690,0 days 00:00:08.710911,0.24288466499663341,0.5309175976422883,0.10682140808581286,0.10002131033375883,3,5,903,0.9853266608129011,COMPLETE
75,0.9564588865811473,2024-10-04 20:36:30.110687,2024-10-04 20:36:43.263716,0 days 00:00:13.153029,0.5523209508304937,0.5911036993299311,0.004746501930567235,0.07737504556813207,4,4,980,0.5012801507941417,COMPLETE
76,0.9583206447230799,2024-10-04 20:36:43.264731,2024-10-04 20:36:55.088054,0 days 00:00:11.823323,0.14043842314153743,0.540715634212076,0.13132767511263496,0.11098345651179586,3,3,1218,0.9192526555210941,COMPLETE
77,0.9538247037091937,2024-10-04 20:36:55.090048,2024-10-04 20:37:10.651842,0 days 00:00:15.561794,0.09656942396162072,0.5484797412163263,0.2238348604286199,0.27917518348661785,3,2,1651,0.917628378402165,COMPLETE
78,0.9580125522888014,2024-10-04 20:37:10.652840,2024-10-04 20:37:23.092994,0 days 00:00:12.440154,0.1313108482903027,0.5073829085261925,0.13287712589409584,0.11365114467186369,3,5,1222,0.9023600569444562,COMPLETE
79,0.9579624467140876,2024-10-04 20:37:23.093991,2024-10-04 20:37:31.543891,0 days 00:00:08.449900,0.33907816895770615,0.5360117788154135,2.4699227507447254,0.128987471423019,3,3,856,0.8856710573298313,COMPLETE
80,0.9576558960813832,2024-10-04 20:37:31.545886,2024-10-04 20:37:48.475796,0 days 00:00:16.929910,0.1574221675934299,0.655403334583226,0.5625413119104464,0.10406730283820373,3,4,1781,0.9242180225403834,COMPLETE
81,0.9578159517529212,2024-10-04 20:37:48.476793,2024-10-04 20:38:02.310672,0 days 00:00:13.833879,0.035902966831255316,0.6040012720832578,0.048074503729015686,0.0915288890659757,4,3,1155,0.9515558544897192,COMPLETE
82,0.9572675228130081,2024-10-04 20:38:02.311670,2024-10-04 20:38:13.417782,0 days 00:00:11.106112,0.04621716044881962,0.578520977674943,0.0828179671234067,0.11273310348043478,3,2,1092,0.6400180864833671,COMPLETE
83,0.9559182261781238,2024-10-04 20:38:13.418779,2024-10-04 20:38:22.363613,0 days 00:00:08.944834,0.07462914748822848,0.7889388724426267,0.1451348449442611,0.04284727086215262,3,3,1027,0.9709971601136848,COMPLETE
84,0.9555447292114252,2024-10-04 20:38:22.365608,2024-10-04 20:38:35.669861,0 days 00:00:13.304253,0.7056136176077267,0.5503100455425736,0.005379718197928708,0.1393137679851506,4,4,1279,0.9337468935013853,COMPLETE
85,0.9568724644358761,2024-10-04 20:38:35.670858,2024-10-04 20:38:52.170793,0 days 00:00:16.499935,0.0910767404605269,0.5205358013512564,0.027205790736277154,0.07390496215617962,5,3,1220,0.9841880107922775,COMPLETE
86,0.9583307944207023,2024-10-04 20:38:52.172788,2024-10-04 20:39:04.350761,0 days 00:00:12.177973,0.1880730625366161,0.6240186276225724,0.012762281322539305,0.06391371274709835,4,2,984,0.9469753222528109,COMPLETE
87,0.9567589128334444,2024-10-04 20:39:04.351759,2024-10-04 20:39:13.457824,0 days 00:00:09.106065,0.3002406379378159,0.6303062491841163,0.0014320322252666866,0.05683951214030446,3,2,971,0.8387200937750131,COMPLETE
88,0.9561376382338217,2024-10-04 20:39:13.458822,2024-10-04 20:39:30.384168,0 days 00:00:16.925346,0.22464849057367184,0.6131659673354241,0.00259239330267395,0.011453942030498543,7,1,908,0.8646777644035685,COMPLETE
89,0.9583510223811249,2024-10-04 20:39:30.386162,2024-10-04 20:39:37.638145,0 days 00:00:07.251983,0.4829733161865571,0.5001897105067663,0.011974563609570416,0.15917873575453997,3,2,788,0.9456237701178772,COMPLETE
90,0.9566747090370408,2024-10-04 20:39:37.639143,2024-10-04 20:39:50.787300,0 days 00:00:13.148157,0.45323183843029863,0.5040224549793196,0.01682040500467391,0.16712745157334347,3,2,1419,0.8837196814958476,COMPLETE
91,0.9575556313558389,2024-10-04 20:39:50.788297,2024-10-04 20:39:57.778762,0 days 00:00:06.990465,0.1751069178230972,0.5284465962143758,0.01366675118518831,0.18197642005389325,3,1,740,0.9411727421841443,COMPLETE
92,0.9566955620521558,2024-10-04 20:39:57.779760,2024-10-04 20:40:05.819279,0 days 00:00:08.039519,0.12269502243425687,0.5114575476256569,0.0071821478650272155,0.06531838595944442,3,2,867,0.9127667598197103,COMPLETE
93,0.9582160522379042,2024-10-04 20:40:05.820276,2024-10-04 20:40:14.254846,0 days 00:00:08.434570,0.8811141418814028,0.5598226973203921,0.004501953715259121,0.15974521435378858,3,2,786,0.9559048187871924,COMPLETE
94,0.9576469548228328,2024-10-04 20:40:14.255843,2024-10-04 20:40:22.435428,0 days 00:00:08.179585,0.5847608894714109,0.557642013784604,0.004354541135755239,0.20078882376240442,3,2,792,0.9548033817842477,COMPLETE
95,0.9579821567720508,2024-10-04 20:40:22.436425,2024-10-04 20:40:32.189073,0 days 00:00:09.752648,0.36062293622264907,0.5451282172474194,0.01197419343248766,0.15361991448061488,3,2,960,0.9263119011937623,COMPLETE
96,0.9577892410824044,2024-10-04 20:40:32.190071,2024-10-04 20:40:38.558950,0 days 00:00:06.368879,0.925879999655498,0.526761354923232,0.005925815751837114,0.14384932077447973,3,1,671,0.902103123557174,COMPLETE
97,0.9582600203708299,2024-10-04 20:40:38.559947,2024-10-04 20:40:46.368076,0 days 00:00:07.808129,1.0253167042894424,0.5373489919288934,0.008305241604395205,0.11882974655874577,3,2,839,0.946215140430016,COMPLETE
98,0.9563653426817703,2024-10-04 20:40:46.369073,2024-10-04 20:40:55.865123,0 days 00:00:09.496050,1.078615174822443,0.5000171804350386,0.0034231498296296158,0.1608651243742193,4,1,849,0.9453795829214284,COMPLETE
99,0.9494748766707563,2024-10-04 20:40:55.866121,2024-10-04 20:41:08.397629,0 days 00:00:12.531508,0.8309134897108794,0.537812180930209,0.007682828678379782,0.17787166047796688,8,2,542,0.9194351639913295,COMPLETE
